鬼怪神魔	搜神记	22
鬼怪神魔	斩鬼传	10
鬼怪神魔	新镌绣像麴头陀济颠全传	36
鬼怪神魔	桃花女阴阳斗传	17
鬼怪神魔	济公全传	240
鬼怪神魔	牛郎织女传	12
鬼怪神魔	益智录	121
鬼怪神魔	神魔列国志	23
鬼怪神魔	穆天子传	0
鬼怪神魔	绣云阁	143
鬼怪神魔	续夷坚志	5
鬼怪神魔	续子不语	10
鬼怪神魔	续济公传	232
鬼怪神魔	续西游记	99
鬼怪神魔	续镜花缘	40
鬼怪神魔	绿野仙踪	39
鬼怪神魔	聊斋志异	499
鬼怪神魔	艳异编续集	19
鬼怪神魔	草木春秋演义	32
鬼怪神魔	蟫史	22
鬼怪神魔	西游补	16
鬼怪神魔	西游记	101
鬼怪神魔	西游记传	41
鬼怪神魔	观音菩萨传奇	40
鬼怪神魔	负曝闲谈	30
鬼怪神魔	走马春秋	16
鬼怪神魔	达摩出身传灯传	70
鬼怪神魔	醒梦骈言	12
鬼怪神魔	钟馗斩鬼传	12
鬼怪神魔	锋剑春秋	59
鬼怪神魔	镜花缘	100
鬼怪神魔	阅微草堂笔记	29
鬼怪神魔	雷峰塔奇传	14
鬼怪神魔	鬼神传	18
鬼怪神魔	鬼谷四友志	8
